gw,mae,spearman,top_n_actual,best_possible,field_mean,n
9,2.089263271547312,0.3227591750570841,4.05,11.55,2.907936507936508,315
10,2.0183412940691006,0.4691593470211259,4.85,10.8,2.927392739273927,303
11,2.2099213778176883,0.2877052732489052,3.6,11.3,3.1683168316831685,303
12,2.27494362781286,0.21332842426039217,3.2,12.15,2.9867986798679866,303
13,2.1746729265909024,0.21229078217954558,2.6,11.45,2.8552631578947367,304
14,2.1850032179773606,0.17401152952972834,4.45,12.35,3.140983606557377,305
15,2.0678988452588527,0.45992012625400486,5.95,11.4,2.9806451612903224,310
16,2.1635108006591284,0.35552434722696946,5.45,12.15,3.0697674418604652,301
17,2.0081879321828096,0.28067211582725127,4.75,11.4,3.0231788079470197,302
18,2.0313691629688355,0.3120380416532464,3.45,11.1,3.0580204778157,293
19,2.1591155162993827,0.27321026800765963,3.7,10.6,3.292517006802721,294
20,2.040758441558862,0.28425707627880137,3.35,11.45,3.0268456375838926,298
21,2.0354819270362365,0.3425237493122597,4.65,10.55,3.0338983050847457,295
22,1.9875423868212594,0.27150959331745605,4.45,9.5,3.134020618556701,291
23,2.1976198444690853,0.21597683146635133,4.05,10.4,2.9405940594059405,303
24,2.0974468267244255,0.34290715061992677,5.35,10.95,2.9536423841059603,302
25,2.0625553556456313,0.3130345567246711,4.85,10.75,2.8580858085808583,303
26,2.1212899134509926,0.28519704681196406,3.65,11.15,2.8658536585365852,328
27,2.084476395566088,0.3159864536124578,3.45,11.15,3.0707070707070705,297
28,2.081100127821253,0.3674319341321098,5.05,10.65,2.8039867109634553,301
29,2.1108489848630274,0.3233668075233721,5.6,11.05,2.950980392156863,306
30,2.069953977639244,0.25279493137039455,4.4,10.15,3.22972972972973,296
31,2.1148675979287996,0.3087239269369101,4.25,10.25,3.0411522633744856,243
32,2.0862407188286882,0.32979961547475306,3.4,12.4,2.9834983498349836,303
33,2.051420139737286,0.3242826304414283,5.1,11.65,3.1122448979591835,392
34,2.127875585537459,0.28215403021192853,4.45,9.9,3.048780487804878,205
35,2.060277212222334,0.3320735787191324,4.0,11.1,2.855737704918033,305
36,2.091318329965874,0.32401747644128825,4.3,10.8,3.0401234567901234,324
37,2.0386848481282964,0.25053809043182307,6.25,11.3,2.8529411764705883,306
38,1.91715333872417,0.2893941250677687,5.0,10.45,2.8173076923076925,312
