season,ahead,mae,spearman,n,capt,hit20
2023-24,1,2.026,0.353,8999,7.29,0.24
2023-24,2,2.043,0.34,8704,7.6,0.238
2023-24,3,2.06,0.329,8401,7.38,0.233
2023-24,4,2.079,0.316,8100,7.54,0.241
2023-24,5,2.086,0.313,7803,7.48,0.233
2023-24,6,2.092,0.308,7510,8.04,0.237
2023-24,7,2.105,0.305,7214,7.8,0.224
2023-24,8,2.115,0.304,6920,6.33,0.221
2023-24,9,2.122,0.299,6629,6.39,0.235
2023-24,10,2.132,0.296,6324,6.27,0.227
2024-25,1,1.925,0.359,9369,9.42,0.229
2024-25,2,1.941,0.347,9061,9.43,0.235
2024-25,3,1.962,0.336,8757,9.0,0.24
2024-25,4,1.979,0.327,8454,8.39,0.234
2024-25,5,1.986,0.322,8154,9.52,0.243
2024-25,6,1.986,0.324,7847,9.27,0.244
2024-25,7,1.999,0.316,7534,9.08,0.248
2024-25,8,2.002,0.31,7224,8.58,0.235
2024-25,9,2.014,0.308,6947,8.04,0.233
2024-25,10,2.022,0.305,6644,7.45,0.225
2025-26,1,2.068,0.332,9217,7.06,0.194
2025-26,2,2.09,0.311,8911,7.17,0.18
2025-26,3,2.107,0.298,8597,6.59,0.181
2025-26,4,2.126,0.282,8294,6.5,0.179
2025-26,5,2.13,0.277,7991,6.59,0.189
2025-26,6,2.141,0.272,7688,7.0,0.188
2025-26,7,2.146,0.271,7384,6.72,0.18
2025-26,8,2.142,0.272,7079,6.58,0.179
2025-26,9,2.15,0.266,6769,7.09,0.174
2025-26,10,2.145,0.27,6468,6.55,0.177
